artist,song,data
 Chris Janson ,Power of Positive Drinkin’,Work sucks  truck died  hot as hell outside My A/C just broke (just broke) The woman I love packed half of my stuff And she took off down road  Where she went  I don't know But she’s never comin' back My life feels like a joke But it hurts too much to laugh  So I go To that little place where the good times always roll In the glow of the neon light where I know There’s a new song I'll be singin' Before I leave  yeah I believe In the power of positive drinkin'  Beer one…tastes just like a beer Beer two…a little bit better than one Beer three…beer four Yeah that was pretty damn good so hand me one more Beer five…and I'm comin' alive Beer six…man that went down quick Seven  eight  nine…I'm feelin' fine And by number ten life's good again Yeah....That’s the power of positive drinkin' Where she went  I don't know But she’s never comin' back My life feels like a joke But it hurts too much to laugh  So I go To that little place where the good times always roll In the glow of the neon light where I know There’s a new song I'll be singin' Before I leave  yeah I believe In the power of positive drinkin'  Beer one…tastes just like a beer Beer two… is a little bit better than one Beer three…beer four Yeah that was pretty damn good so hand me one more Beer five…and I'm comin' alive Beer six…man that went down quick Seven  eight  nine…I'm feelin' fine By number ten life's good again That’s the power of positive drinkin'  So I go To that little place where the good times always roll In the glow of the neon light where I know There’s a new song I'll be singin' Before I leave  yeah I believe In the power of positive drinkin' As the power of positive drinkin'2EmbedShare URLCopyEmbedCopy
 Chris Janson ,Who’s Your Farmer,Who's your farmer  who's your roughneck Who’s your curved bill  dirty boots thrown on the back porch redneck Who’s the one you fix a drink  watch out over your kitchen sink Turn you on like a fire alarmer Girl who’s your farmer?  Who keeps plantin' them kisses on your South Georgia lips Dancin’ in the rain with my hands on your hips Who lays your life out in pretty little rows Who keeps that red dirt between your pretty toes Oh  say my name  let it echo through the holler Who’s your farmer Who’s your John Deere  who’s your cold beer Who’s the arms around you on a four-wheeler flyin’ through a hayfield Who’s your crooked smile in a t-shirt tan Home grown southern charmer Who’s your farmer  Who works harder on lovin’ you than any ol’ hard earned dollar Tell me who’s your farmer Girl come on up here  let me show you how to drop a row marker Tell me who’s your farmer  Say my name  let it echo through the holler Who’s your farmer Aw  who’s your farmerEmbedShare URLCopyEmbedCopy
 Chris Janson ,Redneck Life,I grew up in a batten board cabin at the dead end of a gravel street I got my first paying job when I turned ten Cause money didn't grow on trees Cheap cigarettes with the windows up was part of the air I breathed I didn't choose the redneck life the redneck life chose me  Yeah me and my daddy built my first car Strung the motor up in a tree We wore the beer box helmets with the eyes cut out rat racing them junkyard dreams Yeah me and my crew man we grew up on Hank Jr. eighty three I didn't choose the redneck life the redneck life chose me  Yeah I didn't choose the redneck life the redneck life chose me What you see is what you get and what you get is what you see I'd take a Mountain Dew over a silver spoon any old day of the week I didn't choose the redneck life the redneck life chose me Aw get on it son  Now I grew up swimming in cutoff jeans Down at the bridge at the castor creek We bent our half bills as far as we could bend them We spent the fall sitting high in a tree Yeah hunting and fishing wasn't just a trend it was what we did to eat I didn't choose the redneck life the redneck life chose me Yeah I didn't choose the redneck life the redneck life chose me What you see is what you get and what you get is what you see I'd take a Mountain Dew over a silver spoon any old day of the week I didn't choose the redneck life the redneck life chose me WoahEmbedShare URLCopyEmbedCopy
 Chris Janson ,Name On It,Honey have you been outside It's getting down around sixty-five It's like Georgia knew you loved those California kinda nights And that spot you like downtown It's got the band I know you love And I got your favorite playlist all queued up  So baby count to ten then meet me in the driveway Slide under my right arm we'll head down that highway Girl we got forever we don't have to wait on it Stars are in a line in the sky and it's a perfect night Girl it's got you name on it This night has got your name on it  Got a koozie waiting on ya Six pack of Mic Ultra Light Got half an empty bench seat just the way you like I got two hard working hands and I got these miss you lips They're only made to hold you here for you to kiss  Baby count to ten then meet me in the driveway Slide under my right arm we'll head down that highway Girl we got forever we don't have to wait on it Stars are in a line in the sky and it's a perfect night Girl it's got you name on it This night has got your name on it It's got your name on it Yeah girl you were made for it And I got the time that you like dialed up So come on push play on it  Baby count to ten then meet me in the driveway Slide under my right arm we'll head down that highway Girl we got forever we don't have to wait on it Stars are in a line in the sky and it's a perfect night Girl it's got you name on it This night has got your name on it  Girl It's got your name on it Oh this night has got your name on itEmbedShare URLCopyEmbedCopy
 Chris Janson ,Out There,I'm gonna be rich someday  sounds out there There's a crew cab Duramax paid off title  sounds out there There's a farm with a barn Where you can sit back and see the stars  And man that's out there And there's a some day I'm riding out there windows down  all the way  all the way Out there  in the middle of nowhere Radio so loud  'cause we don't care Blue eyes and blonde hair  in that front seat I can't help but stare  when she's staring back at me Sounds like a dream  way out of reach But I gotta believe Man that's out there  Boots and jeans that's me dresses up  sounds out there And my playlist plays Waylon and Wiz  and that's out there But there's a girl who's my world She likes me for me  And man that's out there And there's a some day I'm riding out there windows down  all the way  all the way Out there  in the middle of nowhere Radio so loud  'cause we don't care Blue eyes and blonde hair  in that front seat I can't help but stare  when she's staring back at me Sounds like a dream  way out of reach But I gotta believe Man that's out there The way of life around here The way we drink our beers The way we're wishing on stars  and sending up our prayers Man that's out there Man  that's out there Yeah  That's out there And there's a some day I'm riding out there  windows down all the way  all the way Out there  Out there in the middle of nowhere Sounds out there Man that's out thereEmbedShare URLCopyEmbedCopy
 Chris Janson ,When You Like Me,You got every right right now to be ticked off I wanna make it all alright at any cost Right now between you shaking off that sass Should we take a break is that too much to ask?  Baby just love me like you loved me when you liked me Pretend you don't want cut me off  despite me I'm so turned on right the way you wanna fight me So baby love me like you loved me when you liked me  Something bout your hand there on your head And your finger pointing biting noy uor lip You're a differetn kind of hotter when your face is red It kinda mkaes me wanna find a bed  Baby just love me like you loved me when you liked me Pretend you don't want cut me off despite me I'm so turned on right the way you wanna fight me So baby love me like you loved me when you liked me Pretend I ain't done nothing wrong Pretend  Girl if your shoe was on the other foot I'd do the same for you Baby just love me like you loved me when you liked me Pretend you don't want cut me off  despite me I'm so turned on right the way you wanna fight me So baby love me like you loved me Love me like you want me Love me like you loved me when you liked me Oh  when  you liked meEmbedShare URLCopyEmbedCopy
 Chris Janson ,White Trash,Between the trailer and the dog And the cars on blocks and the hogs Out in the front yard Where us kids play No grass Yeah there was mama In her house shoes Smokin' Salem Lights with the tattoos You add it all up That's why they call us white trash  Well if they'd had their way They'd have thrown us away Like an empty bottle of wine We belong sacked up Stacked on the curb In their mind And their daddy's didn't want us Hanging 'round their girls And they told every son they had Don't even think about it Taking out the white trash  Now between her Beamer and her Ray Bans And her spring break seaside sun tan Hell I could see she Was on her own side of the tracks Oh you know I knew her from school Yeah she ran with the boys that were cool Well as far as I knew she wanted nothing to do With white trash Well if they'd had their way They'd have thrown us away Like an empty bottle of wine We belong sacked up Stacked on the curb In their mind And their daddy's didn't want us Hanging 'round their girls And they told every son they had Don't even think about it Taking out the white trash  That girl is my baby now We live right here in this town Got a bunch of kids running around Ain't it funny how it all turned out?  Well if they'd had their way They'd have thrown us away Like an empty bottle of wine We belong sacked up Stacked on the curb In their mind And their daddy's didn't want us Hanging 'round their girls And they whipped their boy's white ass All for even thinking 'bout taking white trash Thank God I know something 'bout Running 'round with white trashEmbedShare URLCopyEmbedCopy
 Chris Janson ,Say About Me,"Rolling Stone called me the most open-minded redneck on the block Yeah  but I ain't the first good ol' boy to mix country with his rock See  I grew up in a single wide with a poster of Kid Rock And when you start out from the bottom  son You scream when you're on top From a muddy truck  to a shiny bus  to a twin turbo jet The odds are always stacked against me But there ain't nothin' stopped me yet  'Cause I make money  I make music I got swagger and I use it Cowboy hat when I feel it Feather in the back  Zebco reelin' Skip from a Bentley to a 350 I wake up in the mornin'  see how it hits me At the end of the day  I'm just a redneck boy in the hills of Tennessee And I was raised not to care what people say about me Uh  yeah  that's right  sing it  See  I got the hottest woman that this world has ever seen And I married that girl on a farm in the country underneath a magnolia tree A couple years went by and a demo of mine hopped on the radio So we bumped it up to a master track and we took it out on the road And before I knew it  there was platinum records up hangin' on my wall And I thank God every day I'm a member of the Grand Ole Opry  y'all 'Cause I make money  I make music I got swagger and I use it Cowboy hat when I feel it Feather in the back  Zebco reelin' Skip from a Bentley to a 350 I wake up in the mornin'  see how it hits me At the end of the day  I'm just a redneck boy in the hills of Tennessee And I was raised not to care what people say about me Alright  uh  yeah  Now all the people in the front say  ""Oh yeah"" (Oh yeah) Now all the people in the back say  ""Alright"" (Alright) Now put your right hand and your left hand up Back and forth  let me see you all night (Woo) See I share the wealth and I share the blessings 'Cause the blessings were given to me And I give my thanks and all of my praise to a God that I can't see  'Cause I make money  I make music I got swagger and I use it Cowboy hat if I feel it Feather in the back  Zebco reelin' (Haha) Skip from a Bentley to a 350 I wake up in the mornin' see how it hits me At the end of the day I'm just a redneck boy in the hills of Tennessee And I was raised not to care what people say about me Alright We raised up on that Hank Jr 83  son Put your hands in the air  put your hands in the air Now somebody screamEmbedShare URLCopyEmbedCopy"
 Chris Janson ,Waitin’ on 5,Underneath a car  turning on a wrench Out there on a farm fixing that fence It's like watching your team While you sit on the bench Waitin' on five to start on six Out in the sun or in the AC Two hours left when the hand's at three If you wanting overtime  well sorry I'm sick Waitin' on five to start on six  Everybody watching that tick tock tick Slower it goes the closer it gets We'll be cracking and popping and giving it a twist Waitin' on five to start on six Hey  hey  alright Yeah we're gonna have a little party tonight Hey  hey  alright Sipping and kissing somebody tonight  Sunday night comes and I'm getting depressed Monday morning blues and my head is a mess Friday rolls around and I'm getting that itch Waitin' on five to start on six Everybody watching that tick tock tick Slower it goes the closer it gets We'll be cracking and popping and giving it a twist Waitin' on five to start on six  hey  I'd rather dig in a cooler  man  than dig in a ditch I'm sick and damn tired of being somebody's bitch I been working all day  'bout time to quit Waitin' on five to start on six  Everybody watching that tick tock tick The slower it goes the closer it gets We'll be cracking and popping and giving it a twister Waitin' on five to start on six-er Waitin' on five Waitin'on five Waitin' on five when it's time to quit Waitin' on five Waitin' on five Waitin' on five to get started on six  Everybody watching that tick tock tick The slower it goes the closer it gets We'll be cracking and popping and giving it a twist Waitin' on five to start on six Hey  hey  alright Doin' our time 'til it's time to quit Hey  hey  alright Waitin' on five to get started on sixEmbedShare URLCopyEmbedCopy
 Chris Janson ,Our World,We make our living up on tractor tires We drink our beers round big bonfires We wrap our farms and arms around barbed wire in our world We crank our music up and down main street We mix our country with some hip hop beats Man we're just leaving that American dream in our world  Now on Friday that's were the party begins On Saturday ain't nothin' but pigskin On Sunday we do a little preaching in our world  We drop our tops on our back road ride We got that homegrown hometown pride You all want country just step inside our world  Now on Friday that's were the party begins On Saturday ain't nothin' but pigskin On Sunday we do a little preaching in our world That's all baby I don't matter what color you are Where you come from Whether you drive a truck or a car Everybody's welcome under these stars in our world  our world  our world Now on Friday that's were the party begins On Saturday ain't nothin' but pigskin On Sunday we do a little preaching in our world That's our world babyEmbedShare URLCopyEmbedCopy
